,product,category,brand,mrp,sp,discount,sku,description,url
130,foodgrains-oil-masala,Urad & Other Dals,bb Royal,80.00,57.00,29,10000470,Lobia - White,/pd/10000470/bb-royal-lobia-white-500-g-pouch/
131,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,230.00,169.00,27,40072496,"Organic - Urad Whole (Gota), Unpolished",/pd/40072496/bb-royal-organic-urad-whole-gota-unpolished-1-kg/
132,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,450.00,335.00,26,40109381,"Organic - Urad Whole (Gota), Unpolished",/pd/40109381/bb-royal-organic-urad-whole-gota-unpolished-2-kg/
133,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,230.00,169.00,27,40072496,"Organic - Urad Whole (Gota), Unpolished",/pd/40072496/bb-royal-organic-urad-whole-gota-unpolished-1-kg/
134,foodgrains-oil-masala,Urad & Other Dals,bb Royal,90.00,77.00,14,10000477,"Urad - Black, Whole/Sabut",/pd/10000477/bb-royal-urad-black-wholesabut-500-g-pouch/
135,foodgrains-oil-masala,Urad & Other Dals,bb Royal,35.00,35.00,,30000125,"Urad - Black, Whole/Sabut",/pd/30000125/bb-royal-urad-black-wholesabut-200-g-pouch/
136,foodgrains-oil-masala,Urad & Other Dals,bb Royal,90.00,77.00,14,10000477,"Urad - Black, Whole/Sabut",/pd/10000477/bb-royal-urad-black-wholesabut-500-g-pouch/
137,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,91.00,78.00,14,40072500,Organic - Urad Dal Black (Split),/pd/40072500/bb-royal-organic-urad-dal-black-split-500-g/
138,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Royal,210.00,165.00,21,60000616,Moong Dal Unpolished,/pd/60000616/bb-royal-moong-dal-unpolished-1-kg-pouch/
139,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Popular,170.00,145.00,15,30010368,"Moong - Green, Whole/Sabut",/pd/30010368/bb-popular-moong-green-wholesabut-1-kg-pouch/
140,foodgrains-oil-masala,Urad & Other Dals,bb Royal,70.00,66.00,6,40045372,Red Masoor Dal Whole,/pd/40045372/bb-royal-red-masoor-dal-whole-500-g-pouch/
